event_dt,event_flg,event_name,event_f_cnt,event_m_cnt,event_link
2022-07-24,USA,Ironman Lake Placid 2022,489,1343,/rus/result/ironman/lake-placid/full/2022
2022-07-24,USA,Ironman Ohio 70.3 2022,451,939,/rus/result/ironman/ohio/half/2022
2022-07-24,EST,ITU Baltic Championship Tallinn Europe Baltic Tallinn Sprint 2022,12,14,/rus/result/itu/baltic-championship-tallinn-europe-baltic-tallinn/sprint/2022
2022-07-24,CZE,ITU Junior Cup Tabor Europe Junior Tabor Sprint 2022,43,69,/rus/result/itu/junior-cup-tabor-europe-junior-tabor/sprint/2022
2022-07-24,EST,ITU National Championship Estonia Olympic 2022,15,15,/rus/result/itu/national-championship-estonia/olympic/2022
2022-07-24,ESP,ITU World Cup Pontevedra Olympic 2022,50,51,/rus/result/itu/world-cup-pontevedra/olympic/2022
2022-07-23,MAS,Ironman Desaru Coast 5150 2022,27,98,/rus/result/ironman/desaru-coast/olympic/2022
2022-07-23,MAS,Ironman Desaru Coast Sprint 2022,11,31,/rus/result/ironman/desaru-coast/sprint/2022
2022-07-23,RUS,Wild Siberia XTRI Full 2022,1,33,/rus/result/nobrand/wild-siberia-xtri/full/2022
2022-07-23,KAZ,ITU Junior and U23 Championship Nur-Sultan Asia Junior Nur-Sultan Olympic 2022,15,24,/rus/result/itu/junior-and-u23-championship-nur-sultan-asia-junior-nur-sultan/olympic/2022
2022-07-23,KAZ,ITU Junior and U23 Championship Nur-Sultan Asia Junior Nur-Sultan Sprint 2022,18,27,/rus/result/itu/junior-and-u23-championship-nur-sultan-asia-junior-nur-sultan/sprint/2022
2022-07-23,AUT,ITU Junior National Championship Austria SuperSprint 2022,15,28,/rus/result/itu/junior-national-championship-austria/supersprint/2022
2022-07-23,VEN,ITU National Championship Venezuela Sprint 2022,13,16,/rus/result/itu/national-championship-venezuela/sprint/2022
2022-07-22,RUS,Karelia Tri Olympic 2022,19,101,/rus/result/nobrand/karelia-tri/olympic/2022
2022-07-17,ECU,Ironman Ecuador 70.3 2022,114,648,/rus/result/ironman/ecuador/half/2022
2022-07-17,RUS,Медный Всадник Half 2022,157,978,/rus/result/nobrand/mednyy-vsadnik/half/2022
2022-07-17,RUS,Этап Кубка России и Открытый Чемпионат Санкт-Петербурга Half 2022,9,15,/rus/result/nobrand/etap-kubka-rossii-i-otkrytyy-chempionat-sankt-peterburga/half/2022
2022-07-17,USA,ITU Cup Long Beach Americas Sprint 2022,43,58,/rus/result/itu/cup-long-beach-americas/sprint/2022
2022-07-17,AUT,ITU National Championship Austria Olympic 2022,30,30,/rus/result/itu/national-championship-austria/olympic/2022
2022-07-17,USA,ITU National Championship United States of America Sprint 2022,0,4,/rus/result/itu/national-championship-united-states-of-america/sprint/2022
2022-07-17,CRC,ITU World Cup Development Regional Turrialba Sprint 2022,28,44,/rus/result/itu/world-cup-development-regional-turrialba/sprint/2022
2022-07-16,HUN,ITU Junior Cup Tiszaujvaros Europe Junior Tiszaujvaros SuperSprint 2022,158,192,/rus/result/itu/junior-cup-tiszaujvaros-europe-junior-tiszaujvaros/supersprint/2022
2022-07-16,FIN,ITU National Championship Finland Olympic 2022,15,15,/rus/result/itu/national-championship-finland/olympic/2022
2021-10-23,USA,Ironman Waco 2021,139,508,/rus/result/ironman/waco/full/2021
2022-07-16,GBR,ITU National Championship United Kingdom Sprint 2022,7,18,/rus/result/itu/national-championship-united-kingdom/sprint/2022
2022-07-16,HUN,ITU Premium Cup Tiszaujvaros Europe Premium Tiszaujvaros Sprint 2022,108,191,/rus/result/itu/premium-cup-tiszaujvaros-europe-premium-tiszaujvaros/sprint/2022
2022-07-15,RUS,Первенство России по триатлону Санкт-Петербург Элита Sprint 2022,2,5,/rus/result/nobrand/pervenstvo-rossii-po-triatlonu-sankt-peterburg-elita/sprint/2022
2022-07-15,RUS,Первенство России по триатлону Санкт-Петербург Юниоры младший возраст Sprint 2022,3,10,/rus/result/nobrand/pervenstvo-rossii-po-triatlonu-sankt-peterburg-yuniory-mladshiy-vozrast/sprint/2022
2022-07-15,RUS,Первенство России по триатлону Санкт-Петербург Юниоры старший возраст Sprint 2022,2,3,/rus/result/nobrand/pervenstvo-rossii-po-triatlonu-sankt-peterburg-yuniory-starshiy-vozrast/sprint/2022
2022-07-10,SWE,Ironman Jonkoping 70.3 2022,421,1121,/rus/result/ironman/jonkoping/half/2022
2022-07-10,CAN,Ironman Muskoka 70.3 2022,299,805,/rus/result/ironman/muskoka/half/2022
2022-07-10,USA,Ironman Musselman 70.3 2022,408,556,/rus/result/ironman/musselman/half/2022
2022-07-10,USA,Ironman Oregon 70.3 2022,909,1396,/rus/result/ironman/oregon/half/2022
2022-07-10,SUI,Ironman Switzerland Thun 2022,170,990,/rus/result/ironman/switzerland-thun/full/2022
2022-07-10,ESP,Ironman Vitoria-Gasteiz 2022,152,1285,/rus/result/ironman/vitoria-gasteiz/full/2022
2022-07-10,PHI,Ironman Bohol Philippines 5150 2022,61,260,/rus/result/ironman/bohol-philippines/olympic/2022
2022-07-10,PHI,Ironman Bohol Philippines Sprint 2022,25,85,/rus/result/ironman/bohol-philippines/sprint/2022
2022-07-09,GER,ITU World Cup Hamburg Sprint 2022,53,54,/rus/result/itu/world-cup-hamburg/sprint/2022
2022-07-08,CAN,ITU World Cup Para Montreal Sprint 2022,20,45,/rus/result/itu/world-cup-para-montreal/sprint/2022
2022-07-04,COL,ITU Bolivarian Games Valledupar Sprint 2022,18,19,/rus/result/itu/bolivarian-games-valledupar/sprint/2022
2022-07-03,AND,Ironman Andorra 70.3 2022,51,417,/rus/result/ironman/andorra/half/2022
2022-07-03,AUT,Ironman Austria 2022,301,1869,/rus/result/ironman/austria/full/2022
2022-07-03,FRA,Ironman Les Sables dOlonne 70.3 2022,323,1936,/rus/result/ironman/les-sables-dolonne/half/2022
2022-07-03,BRA,Ironman Rio de Janeiro 70.3 2022,148,894,/rus/result/ironman/rio-de-janeiro/half/2022
2022-07-03,NOR,Ironman Sandnes 70.3 2022,54,315,/rus/result/ironman/sandnes/half/2022
2022-07-03,GBR,Ironman UK 2022,109,1129,/rus/result/ironman/uk/full/2022
2022-07-03,RUS,IronStar Zavidovo Olympic 2022,110,423,/rus/result/ironstar/zavidovo/olympic/2022
2022-07-03,RUS,IronStar Zavidovo Sprint 2022,96,207,/rus/result/ironstar/zavidovo/sprint/2022
2022-07-03,RUS,IronStar Zavidovo Supermix Olympic 2022,33,143,/rus/result/ironstar/zavidovo-supermix/olympic/2022
2022-07-03,RUS,IronStar Zavidovo Supermix Sprint 2022,33,149,/rus/result/ironstar/zavidovo-supermix/sprint/2022
2022-07-03,RUS,BALANCE TRI SPORT Half 2022,3,26,/rus/result/nobrand/balance-tri-sport/half/2022
2022-07-03,RUS,BALANCE TRI SPORT Olympic 2022,6,29,/rus/result/nobrand/balance-tri-sport/olympic/2022
2022-07-02,FIN,Ironman Finland 70.3 2022,287,803,/rus/result/ironman/finland/half/2022
2022-07-02,HUN,ITU National Championship Hungary Sprint 2022,40,40,/rus/result/itu/national-championship-hungary/sprint/2022
2022-07-02,NED,ITU Premium Cup Holten Europe Premium Holten Sprint 2022,58,61,/rus/result/itu/premium-cup-holten-europe-premium-holten/sprint/2022
2022-07-01,NED,ITU Junior Cup Holten Europe Junior Holten Sprint 2022,29,54,/rus/result/itu/junior-cup-holten-europe-junior-holten/sprint/2022
2022-06-26,USA,Ironman Coeur dAlene 70.3 2022,681,1411,/rus/result/ironman/coeur-dalene/half/2022
2022-06-26,DEN,Ironman Elsinore 70.3 2022,456,1583,/rus/result/ironman/elsinore/half/2022
2022-06-26,GER,Ironman Frankfurt 2022,253,1994,/rus/result/ironman/frankfurt/full/2022
2022-06-26,USA,Ironman Lubbock 70.3 2022,195,488,/rus/result/ironman/lubbock/half/2022
2022-06-26,USA,Ironman Maytag Steelhead 70.3 2022,369,935,/rus/result/ironman/maytag-steelhead/half/2022
2022-06-26,CAN,Ironman Mont-Tremblant 70.3 2022,501,1248,/rus/result/ironman/mont-tremblant/half/2022
2022-06-26,FRA,Ironman Nice 2022,130,1439,/rus/result/ironman/nice/full/2022
2022-06-26,FRA,Ironman Nice 70.3 2022,227,1419,/rus/result/ironman/nice/half/2022
2022-06-26,NED,Ironman Westfriesland 70.3 2022,213,1002,/rus/result/ironman/westfriesland/half/2022
2022-06-26,MAR,ITU Premium Cup Larache Africa Premium Larache Sprint 2022,14,35,/rus/result/itu/premium-cup-larache-africa-premium-larache/sprint/2022
2022-06-25,CAN,Ironman Mont-Tremblant 5150 2022,272,371,/rus/result/ironman/mont-tremblant/olympic/2022
2022-06-25,CAN,Ironman Mont-Tremblant Sprint 2022,57,65,/rus/result/ironman/mont-tremblant/sprint/2022
2022-06-25,NED,Ironman Westfriesland 5150 2022,106,272,/rus/result/ironman/westfriesland/olympic/2022
2022-06-25,RUS,3Grom II этап кубка Московский Гром Sprint 2022,70,285,/rus/result/3grom/ii-этап-кубка-московский-гром/sprint/2022
2022-06-25,MAR,ITU Junior Cup Larache Africa Junior Larache Sprint 2022,5,12,/rus/result/itu/junior-cup-larache-africa-junior-larache/sprint/2022
2022-06-25,NED,ITU National Championship Netherlands Olympic 2022,25,25,/rus/result/itu/national-championship-netherlands/olympic/2022
2022-06-22,RUS,Чемпионат России на средней дистанции Half 2022,12,14,/rus/result/nobrand/chempionat-rossii-na-sredney-distantsii/half/2022
2022-06-20,RUS,Timerman Казань Half 2022,44,427,/rus/result/timerman/kazan/half/2022
2022-06-20,RUS,Timerman Казань Olympic 2022,77,299,/rus/result/timerman/kazan/olympic/2022
2022-06-20,RUS,IronStar Чемпионат России на средней дистанции Half 2022,12,14,/rus/result/ironstar/chempionat-rossii-na-sredney-distantsii/half/2022
2022-06-19,KOR,Ironman Goseong 70.3 2022,104,833,/rus/result/ironman/goseong/half/2022
